Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,auth: login,38,0,720.0,846.9012657940192,512.3514999868348,2097.5267000030726,405.0,0.8631154760114671,0.0,810,920,990,1100,1400,1800,2100,2100,2100,2100,2100
GET,auth: qr generate,22,0,16,80.23325000381605,8.670999901369214,1213.7180001009256,203.0,0.49969843348032306,0.0,17,30,47,48,66,79,1200,1200,1200,1200,1200
GET,dashboard: health board,43,0,11,12.367246515485784,7.376300054602325,46.286099939607084,75.0,0.9766833018024497,0.0,11,12,14,14,15,20,46,46,46,46,46
GET,dashboard: summary,15,0,10,11.737393331713974,7.881299941800535,20.310199935920537,75.0,0.34070347737294754,0.0,10,13,14,17,18,20,20,20,20,20,20
GET,dashboard: time series,10,0,10,103.30382998799905,8.233499946072698,932.4355999706313,7081.0,0.22713565158196503,0.0,10,14,16,16,930,930,930,930,930,930,930
POST,file: upload,32,0,9,20.90919375041267,6.987500004470348,80.39980009198189,62.0,0.7268340850622881,0.0,9,12,49,51,53,60,80,80,80,80,80
POST,form: questionnaire create,9,0,19,42.95524446448932,11.408000020310283,129.38089994713664,248.77777777777777,0.20442208642376852,0.0,19,58,60,63,130,130,130,130,130,130,130
GET,form: questionnaire list,15,0,22,27.653093348878127,16.129600000567734,77.89710001088679,1583.3333333333333,0.34070347737294754,0.0,22,25,33,33,39,78,78,78,78,78,78
POST,form: survey submit,13,0,28,428.0531384373227,14.761899947188795,4337.469300022349,255.0,0.29527634705655453,0.0,28,44,45,60,910,4300,4300,4300,4300,4300,4300
,Aggregated,197,0,16,216.87029949436675,6.987500004470348,4337.469300022349,641.1370558375635,4.474572336164711,0.0,16,33,60,520,830,1100,1500,2100,4300,4300,4300
